Date,Open,High,Low,Close,Adj Close,Volume
2017-07-24,26.379999,26.590000,26.200001,26.540001,26.485882,303700
2017-07-25,26.600000,27.059999,26.469999,26.799999,26.745350,86800
2017-07-26,26.820000,26.820000,26.410000,26.490000,26.435984,68000
2017-07-27,25.600000,26.080000,24.070000,24.230000,24.180592,317900
2017-07-28,24.090000,24.940001,23.590000,24.910000,24.859205,455900
2017-07-31,24.900000,25.080000,24.370001,24.389999,24.340265,172100
2017-08-01,24.540001,24.730000,24.340000,24.709999,24.659613,90500
2017-08-02,24.770000,24.860001,24.570000,24.830000,24.779367,237100
2017-08-03,24.860001,24.969999,24.680000,24.770000,24.719492,61800
2017-08-04,24.760000,24.889999,24.549999,24.620001,24.569798,72900
2017-08-07,24.610001,24.799999,24.160000,24.240000,24.190571,100900
2017-08-08,24.219999,24.840000,24.100000,24.320000,24.270409,84400
2017-08-09,24.200001,24.549999,23.730000,24.520000,24.470001,78000
2017-08-10,24.389999,24.590000,24.270000,24.340000,24.340000,44300
2017-08-11,24.840000,24.910000,24.190001,24.219999,24.219999,122500
2017-08-14,24.270000,24.650000,24.270000,24.480000,24.480000,50800
2017-08-15,24.510000,24.510000,24.000000,24.070000,24.070000,116200
2017-08-16,24.110001,24.590000,24.110001,24.170000,24.170000,54600
2017-08-17,24.090000,24.400000,23.900000,23.920000,23.920000,59400
2017-08-18,23.830000,24.350000,23.670000,24.150000,24.150000,60900
2017-08-21,24.139999,24.160000,23.959999,24.110001,24.110001,43900
2017-08-22,24.129999,24.520000,23.959999,24.309999,24.309999,55896
